name,top_category,sub_category
mb filter16,rokok,rokok
korek tokai,korek api gas,korek api
mb filter 20,rokok,rokok
mb filter 12,rokok,rokok
mayumi 20gr r8,bahan makanan,mayonaise
kornet tuna 170gr,makanan kaleng,ikan
mayasi pedas 12gr r4,makanan ringan,kacang-kacangan
mayasi pedas 12gr r12 k120,makanan ringan,kacang-kacangan
mayasi pedas 12gr k10,makanan ringan,kacang-kacangan
mayasi jagung 12gr r4,makanan ringan,kacang-kacangan
kornet tuna 170gr k24,makanan kaleng,ikan
mayasi jagung 12gr k10,makanan ringan,kacang-kacangan
mayasi jagung 12gr b3 r12,makanan ringan,kacang-kacangan
mayasi chocoreto rolls 34gr k40,makanan ringan,kacang-kacangan
mayasi chocoreto rolls 34gr,makanan ringan,kacang-kacangan
mayasi bawang 12gr r4,makanan ringan,kacang-kacangan
mayasi bawang 12gr k10,makanan ringan,kacang-kacangan
koro original dua kelinci 20gr b6,makanan ringan,kacang-kacangan
koro original dua kelinci 20gr k10,makanan ringan,kacang-kacangan
mentos mint 135gr,makanan ringan,permen
mentos mint 135gr b40,makanan ringan,permen
maya sardines 425gr k48,makanan kaleng,ikan
korea glow yuzu 85gr k48,sabun mandi,antiseptik
korea glow camellia 85gr,sabun mandi,antiseptik
milkies box 20gr b6,minuman dalam kemasan,susu
korea glow camellia 85gr k48,sabun mandi,antiseptik
milk jus coklat,minuman sachet,minuman segar
korea glow yuzu 85gr,sabun mandi,antiseptik
mika wettan ukuran 18 k50,prt,mika
mika wettan ukuran 18 b30,prt,mika
migelas soto ayam 28gr r12,makanan instant,mie instant
migelas soto ayam 28gr k10,makanan instant,mie instant
migelas kari 28gr r12,makanan instant,mie instant
migelas kari 28gr k10,makanan instant,mie instant
migelas baso sapi 28gr r12 k120,makanan instant,mie instant
migelas baso sapi 28gr k10,makanan instant,mie instant
migelas ayam bawang 28gr r12,makanan instant,mie instant
merica bubuk ps 2gr b8 k576,bahan masakan,kaldu & penyedap
migelas ayam bawang 28gr k10,makanan instant,mie instant
mieshor kuning 12gr k24,makanan ringan,snack
korek api dolar,korek api gas,korek api
mieshor kuning 12gr b6,makanan ringan,snack
mie telur 3ayam 200gr k20,bahan makanan,mie kering
mie telur 3ayam 200gr,bahan makanan,mie kering
mie sedap goreng,makanan instant,mie instant
korek balon,korek api gas,korek api
mextril batuk pcs,obat obatan,obat cair
mextril batuk k25,obat obatan,obat cair
mesis warna,makanan ringan,cokelat
merica bubuk ps 2gr r6,bahan masakan,kaldu & penyedap
merica bubuk ps 2gr p12,bahan masakan,kaldu & penyedap
mayasi bawang 12gr b3 r12,makanan ringan,kacang-kacangan
maya sardines 425gr,makanan kaleng,ikan
ktg sparta bng 15,prt,plastik
marjan melon 460ml k12,sirop,minuman segar
marlboro red,rokok,rokok
marlboro putih,rokok,rokok
ktg kapten sedang,prt,plastik
marlboro merah,rokok,rokok
ktg kurcaci kecil,prt,plastik
ktg kurcaci sedang,prt,plastik
marlboro ice burst,rokok,rokok
ktg loco htm 15,prt,plastik
ktg loco htm 17,prt,plastik
ktg loco htm 24,prt,plastik
ktg loco htm 28,prt,plastik
markizza 330ml k24,sirop,minuman segar
markizza 330ml,sirop,minuman segar
marjan melon 460ml,sirop,minuman segar
krisbee pillow 8gr,makanan ringan,snack
marjan melon,sirop,minuman segar
marjan cocopandan,sirop,minuman segar
marjan coco pandan 460ml k12,sirop,minuman segar
ktg loco htm 35,prt,plastik
marjan coco pandan 460ml,sirop,minuman segar
mariteh melati extra r6 k10+5,minuman sachet,teh
ktg polo kecil,prt,plastik
mama jeruk nipis 800ml k12,sabun cuci piring,antiseptik
ktg raket kecil,prt,plastik
ktg raket tgg,prt,plastik
mariteh melati extra b6 r6 k10+5,minuman sachet,teh
mariteh melati 7gr k10+5,minuman sachet,minuman segar
marina natural 200 ml,perawatan tubuh,lotion
ktg kapten kecil,prt,plastik
mary quen,makanan ringan,cokelat
masako sapi 11gr b6,bahan masakan,kaldu & penyedap
maya sardines 155gr k100,makanan kaleng,ikan
maya sardines 155gr,makanan kaleng,ikan
koyo cabe k20,perlengkapan medis,koyo
maxtea tarik 25g,minuman sachet,teh
maxtea lemon tea,minuman sachet,teh
mauripan,bahan makanan,tepung
masku 1000ml k12,bahan masakan,minyak sayur
masku 1000ml,bahan masakan,minyak sayur
masako sapi sachet,bahan masakan,kaldu & penyedap
masako sapi 500,bahan masakan,kaldu & penyedap
masako sapi 11gr r10,bahan masakan,kaldu & penyedap
masako sapi 11gr k12,bahan masakan,kaldu & penyedap
krisbee jagung bakar 15gr b6,makanan ringan,snack
krisbee kentang goreng 68gr k20,makanan ringan,snack
masako sapi,bahan masakan,kaldu & penyedap
masako ayam sachet,bahan masakan,kaldu & penyedap
krisbee kentang goreng 13gr k10,makanan ringan,snack
masako ayam 500,bahan masakan,kaldu & penyedap
krisbee kentang goreng 13gr r4,makanan ringan,snack
masako ayam 11gr r10,bahan masakan,kaldu & penyedap
masako ayam 11gr k12,bahan masakan,kaldu & penyedap
masako ayam 11gr b6,bahan masakan,kaldu & penyedap
krisbee kentang goreng 30gr,makanan ringan,snack
mary quen k24,makanan ringan,cokelat
krisbee kentang goreng 30gr k40,makanan ringan,snack
krisbee kentang goreng 68gr,makanan ringan,snack
mary quen b12,makanan ringan,cokelat
kukubima anggur 4.5gr b12,obat obatan,obat cair
mama green tea 62ml,sabun cuci piring,antiseptik
mama jeruk nipis 800ml,sabun cuci piring,antiseptik
lif bw mildcare 300ml,sabun mandi,antiseptik
lifebouy shampoo anti dandruff,perawatan rambut,shampo
larutan badak jambu 320ml,minuman dalam kemasan,minuman segar
larutan badak jambu 320ml k24,minuman dalam kemasan,minuman segar
larutan badak jeruk 320ml,minuman dalam kemasan,minuman segar
larutan badak jeruk 320ml k24,minuman dalam kemasan,minuman segar
lifebouy mildcare reff 450ml,sabun mandi,antiseptik
lifebouy coolfresh 100ml,sabun mandi,antiseptik
lifbouy cair 5000,sabun mandi,antiseptik
lif shp hair fall 170ml,perawatan rambut,shampo
larutan badak leci 320ml,minuman dalam kemasan,minuman segar
lif bw vitaprotect reff 250ml,sabun mandi,antiseptik
larutan badak leci 320ml k24,minuman dalam kemasan,minuman segar
lif bw vitaprotect 80gr k144,sabun mandi,antiseptik
lif bw vitaprotect 80gr,sabun mandi,antiseptik
lif bw total10 80gr,sabun mandi,antiseptik
lif bw total10 60ml k48,sabun mandi,antiseptik
larutan cap kaki 3 can 320ml jrk,minuman dalam kemasan,minuman segar
lif bw total10 60ml,sabun mandi,antiseptik
lif bw total10 300ml,sabun mandi,antiseptik
lif bw naturepure reff 450ml,sabun mandi,antiseptik
lif bw naturepure 80gr k144,sabun mandi,antiseptik
larutan cap kaki tiga 200ml,minuman dalam kemasan,minuman segar
lif bw naturepure 80gr,sabun mandi,antiseptik
lif bw nature pure 300ml k12,sabun mandi,antiseptik
lif bw nature pure 300ml,sabun mandi,antiseptik
larutan cap kaki tiga 500ml,minuman dalam kemasan,minuman segar
larutan k3 anak original 200ml,minuman dalam kemasan,minuman segar
lif bw mildcare 80gr,sabun mandi,antiseptik
larutan k3 anak original 200ml b8,minuman dalam kemasan,minuman segar
larutan anak stroberi 250ml k24,minuman dalam kemasan,minuman segar
larutan anak stroberi 250ml,minuman dalam kemasan,minuman segar
lifebouy shampoo anti dandruff 10ml 12+1,perawatan rambut,shampo
lifebuoy coolfresh 80gr k144,sabun mandi,antiseptik
lifebuoy total 10 85g,sabun mandi,antiseptik
lifebuoy sabun@144,sabun mandi,antiseptik
lifebuoy naturepure reff 250ml,sabun mandi,antiseptik
lifebuoy mildcare reff 250ml,sabun mandi,antiseptik
lifebuoy mildcare 80gr k144,sabun mandi,antiseptik
lifebuoy mildcare 100gr,sabun mandi,antiseptik
lifebuoy lemonfresh reff 250ml,sabun mandi,antiseptik
lifebuoy lemonfresh 80gr k144,sabun mandi,antiseptik
lifebuoy lemonfresh 100ml,sabun mandi,antiseptik
laksa,rokok,rokok
lifebuoy lemon fresh 85g,sabun mandi,antiseptik
laksa 12,rokok,rokok
lifebuoy coolfresh reff 450ml,sabun mandi,antiseptik
lifebouy strong&shiny 170ml,perawatan rambut,shampo
lifebouy shampoo anti dandruff 10ml r40,perawatan rambut,shampo
lifebouy strong & shiny,perawatan rambut,shampo
lifebouy shampoo strong&shiny 70ml,perawatan rambut,shampo
lifebouy shampoo strong&shiny 10ml r40,perawatan rambut,shampo
lifebouy shampoo strong&shiny 10ml 12+1,perawatan rambut,shampo
larutan anak jeruk 250ml,minuman dalam kemasan,minuman segar
larutan anak jeruk 250ml k24,minuman dalam kemasan,minuman segar
larutan anak leci 250ml,minuman dalam kemasan,minuman segar
lifebouy shampoo hair fall 70ml,perawatan rambut,shampo
lifebouy shampoo hair fall 10ml r40,perawatan rambut,shampo
lifebouy shampoo hair fall 10ml k12,perawatan rambut,shampo
lifebouy shampoo anti dandruff 70ml,perawatan rambut,shampo
larutan anak leci 250ml k24,minuman dalam kemasan,minuman segar
lifebouy shampoo anti dandruff 170ml,perawatan rambut,shampo
larutan k3 anak original 200ml k6,minuman dalam kemasan,minuman segar
lif bw matcha 75gr k144,sabun mandi,antiseptik
kukubima anggur 4.5gr p10,obat obatan,obat cair
lif bw matcha 75gr,sabun mandi,antiseptik
lasegar leci 320ml,minuman dalam kemasan,minuman segar
lasegar leci 320ml k24,minuman dalam kemasan,minuman segar
lasegar melon 320ml,minuman dalam kemasan,minuman segar
lasegar melon 320ml k24,minuman dalam kemasan,minuman segar
laserin,obat obatan,obat cair
laserin 30ml,obat obatan,obat cair
leanet v-tos kentang 8gr b4 k80,makanan ringan,snack
leanet tic-tac bawang 7gr k20,makanan ringan,snack
leanet tic-tac bawang 7gr b4 k80,makanan ringan,snack
le minerale 600ml k24,air minum dalam kemasan,botol
laserin 30ml k4,obat obatan,obat cair
le minerale 330ml k24,air minum dalam kemasan,botol
laserin madu,obat obatan,obat cair
le minerale 1500ml k12,air minum dalam kemasan,botol
laurier maxi 8s,perlengkapan kebersihan wanita,pembalut
lazery yogurt 100gr b30,makanan ringan,permen
lazery yogurt 100gr,makanan ringan,permen
lavenda biru 8ml b12,pkrt,obat nyamuk
lavenda biru 8ml k24,pkrt,obat nyamuk
lavenda orange 8gr b12,pkrt,pengharum
lavenda orange 8gr k24,pkrt,pengharum
lays rumut laut 35gr k40,makanan ringan,snack
lays rumut laut 35gr,makanan ringan,snack
lays rumut laut 14gr k60,makanan ringan,snack
lays rumut laut 14gr,makanan ringan,snack
lays rumput laut 68gr k30,makanan ringan,snack
lays rumput laut 68gr,makanan ringan,snack
laxing k25 blitser,obat obatan,obat kapsul
laxing @4,obat obatan,obat kapsul
leanet v-tos kentang 8gr k20,makanan ringan,snack
leanet v-tos sapi panggang 8gr b4 k80,makanan ringan,snack
leanet v-tos sapi panggang 8gr k20,makanan ringan,snack
larutan k3 original 200ml k6,minuman dalam kemasan,minuman segar
lif bw lemonfresh reff 450ml,sabun mandi,antiseptik
lif bw lemonfresh 80gr,sabun mandi,antiseptik
lif bw lemonfresh 300ml k24,sabun mandi,antiseptik
larutan k3 anggur 320ml,minuman dalam kemasan,minuman segar
larutan k3 anggur 320ml k24,minuman dalam kemasan,minuman segar
larutan k3 leci 320ml,minuman dalam kemasan,botol
larutan k3 leci 320ml k24,minuman dalam kemasan,botol
lif bw lemonfresh 300ml,sabun mandi,antiseptik
larutan k3 melon 320ml,minuman dalam kemasan,minuman segar
lif bw coolfresh reff 250ml,sabun mandi,antiseptik
larutan k3 melon 320ml k24,minuman dalam kemasan,minuman segar
larutan k3 original 200ml,minuman dalam kemasan,minuman segar
larutan k3 original 200ml b8,minuman dalam kemasan,minuman segar
lif bw coolfresh 80gr,sabun mandi,antiseptik
leo ayam original 10gr k10,makanan ringan,snack
larutan k3 original 500ml,minuman dalam kemasan,minuman segar
lif bw coolfresh 300ml k24,sabun mandi,antiseptik
lif bw coolfresh 300ml,sabun mandi,antiseptik
larutan k3 original 500ml k24,minuman dalam kemasan,minuman segar
larutan k3 strawberry 320ml,minuman dalam kemasan,minuman segar
"levite lemon, cucumber & mint 350ml k12",minuman dalam kemasan,minuman segar
"levite lemon, cucumbe & mint 350ml",minuman dalam kemasan,minuman segar
larutan k3 stroberi 320ml,minuman dalam kemasan,minuman segar
larutan k3 stroberi 320ml k24,minuman dalam kemasan,minuman segar
levios 220ml,air minum dalam kemasan,gelas
lasegar jeruk nps 320ml,minuman dalam kemasan,minuman segar
leo ayam original 10gr r6,makanan ringan,snack
lasegar jeruk nps 320ml k24,minuman dalam kemasan,minuman segar
lifebuoy total10 100ml,sabun mandi,antiseptik
